0	0
1	0
2	0
3	0
4	0
5	0
6	0
8	178
9	179
10	0
12	0
13	176
13	176
16	129
17	128
18	130
19	208
20	193
20	193
21	0
21	0
21	0
23	0
24	0
25	0
25	0
27	177
28	0
29	0
30	0
30	0
31	0
32	32
33	211
33	211
34	214
34	214
35	213
36	210
37	216
38	218
39	215
40	217
41	0
42	0
43	0
44	206
44	206
45	209
46	212
47	0
48	48
49	49
50	50
51	51
52	52
53	53
54	54
55	55
56	56
57	57
65	97
66	98
67	99
68	100
69	101
70	102
71	103
72	104
73	105
74	106
75	107
76	108
77	109
78	110
79	111
80	112
81	113
82	114
83	115
84	116
85	117
86	118
87	119
88	120
89	121
90	122
91	0
92	0
93	0
95	0
96	48
97	49
98	50
99	51
100	52
101	53
102	54
103	55
104	56
105	57
106	0
107	0
108	0
109	0
110	0
111	0
112	194
113	195
114	196
115	197
116	198
117	199
118	200
119	201
120	202
121	203
122	204
123	205
124	240
125	241
126	242
127	243
128	244
129	245
130	246
131	247
132	248
133	249
134	250
135	251
144	0
145	207
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
186	58
186	58
187	59
188	44
189	45
190	46
191	47
191	47
192	64
192	64
219	91
219	91
220	92
220	92
221	93
221	93
222	94
222	94
223	0
226	0
226	0
229	193
231	0
246	0
247	0
248	0
249	0
250	0
251	0
252	0
253	0
254	0
